Time,Temperature,Humidity,Vbat
1704977351,20.47,49.61,2971
1704979152,21.95,49.59,2959
1704980836,22.75,49.43,2949
1704982632,22.66,48.62,2957
1704984439,22.01,48.34,2958
1704986240,21.63,48.75,2963
1704988041,21.37,49.96,2975
1704989842,21.14,50.07,2965
1704991630,21.07,49.81,2951
1704993431,22.6,49.39,2937
1704995232,23.46,48.64,2917
1704997034,23.93,48.99,2911
1704998835,22.89,45.89,2914
1705000636,22.29,45.37,2909
1705002437,22.11,47.79,2924
1705004238,21.82,49.23,2928
1705006024,22.47,49.2,2925
1705007825,22.53,49.32,2930
1705009626,22.05,49.08,2926
1705011428,21.88,50.75,2942
1705013229,21.86,51.11,2961
1705015030,22.01,51.31,2984
1705016826,21.88,51.75,3003
1705018627,21.81,52.35,3003
1705020433,21.85,50.66,3001
1705022229,21.4,50.71,2983
1705024035,21.01,53.1,2969
1705025836,21.03,54.86,2953
1705027638,20.81,55.37,2937
1705029439,20.5,55.94,2935
1705031235,20.42,56.88,2942
1705033036,20.35,57.07,2948
1705034842,20.18,57.52,2956
1705036643,20.24,58.5,2969
1705038439,20.17,58.83,2975
1705040246,20.06,59.53,2978
1705042047,20.21,59.97,2975
1705043848,20.26,59.85,2969
1705045649,20.17,59.83,2962
1705047450,20.12,59.8,2957
1705049251,20.09,59.97,2957
1705051052,20.09,58.95,2958
1705052853,19.97,58.86,2957
1705054649,19.73,59.27,2957
1705056451,19.7,59.15,2962
1705058257,19.94,55.08,2969
1705060053,19.72,52.97,2975
1705061859,19.57,52.79,2967
1705063660,20.15,53.51,2958
1705065461,20.31,52.38,2949
1705067262,19.92,45.95,2934
1705068997,21.86,47.63,2930
1705070798,21.78,47.76,2929
1705072599,21.35,48.67,2922
1705074400,21.08,48.78,2914
1705076196,20.81,46.8,2915
1705078002,21.33,46.81,2917
1705079804,21.54,48.19,2927
1705081605,21.39,49.49,2939
1705083401,21.52,50.05,2947
1705085207,21.53,50.42,2951
1705087008,21.36,51.1,2940
1705088809,21.46,51.52,2931
1705090610,21.51,49.6,2922
1705092406,22.09,49.31,2915
1705094213,22.38,49.36,2924
1705096014,22.45,49.55,2934
1705097815,22.19,49.81,2942
1705099616,21.94,48.92,2951
1705101417,22.05,50.14,2949
1705103218,22.69,49.33,2943
1705105019,23.32,50.24,2944
1705106820,23.24,46.08,2945
1705108622,23.35,48.7,2950
1705110423,23.15,50.58,2963
1705112224,23.01,51.74,2968
1705114020,22.9,52.71,2959
1705115826,22.96,53.24,2940
1705117627,22.93,53.86,2918
1705119428,22.89,54.32,2895
1705121229,22.86,54.63,2885
1705123031,22.84,54.97,2888
1705124832,22.81,55.37,2889
1705126633,22.83,55.65,2890
1705128434,22.81,55.8,2891
1705130235,22.79,56.66,2892
1705132036,22.65,56.98,2892
1705133837,22.55,57.28,2896
1705135639,21.51,45.88,2900
1705137440,19.78,38.23,2894
1705139241,19.99,38.8,2897
1705141042,22.72,41.47,2899
1705142838,23.45,43.52,2906
1705144644,23.17,46.08,2936
1705146440,22.89,47.86,2959
1705148247,22.51,49.45,2973
1705150048,22.25,49.73,2967
1705151849,22.03,50.51,2940
1705153650,22.03,51.67,2921
1705155451,22.17,53.14,2914
1705157252,22.09,53.36,2919
1705159053,21.98,51.64,2935
1705160854,21.74,52.85,2937
1705162655,21.49,53.05,2926
1705164452,21.25,52.37,2922
1705166258,20.65,48.83,2912
1705167921,21.92,49.75,2915
1705169722,22,47.49,2927
1705171523,22.21,49.39,2938
1705173325,22.09,48.96,2955
1705175126,19.2,38.3,2957
1705176927,21.19,41.07,2953
1705178728,22.57,42.91,2940
1705180524,22.48,44.46,2921
1705182330,21,40.62,2915
1705184126,21.46,44.21,2928
1705185927,21.37,46.27,2944
1705187718,21.87,47.66,2965
1705189519,22.87,47.87,2971
1705191320,22.75,49.06,2967
1705193121,22.58,49.01,2956
1705194922,21.98,49.56,2941
1705196723,21.35,52.07,2938
1705198524,21,53.45,2944
1705200320,20.69,53.83,2952
1705202126,20.57,55.09,2958
1705203923,20.58,56.24,2963
1705205729,20.35,57.52,2958
1705207530,20.23,59.12,2942
1705209331,20.36,59.68,2933
1705211132,20.18,59.76,2927
1705212928,20.08,60.23,2920
1705214734,20.1,60.45,2909
1705216535,19.87,60.86,2896
1705218337,20.15,60.23,2885
1705220138,20.27,59.65,2878
1705221939,20.05,59.29,2882
1705223740,18.7,44.94,2892
1705225541,17.81,40.26,2905
1705227337,17.24,38.61,2913
1705229143,17.09,37.66,2911
1705230945,18.03,39.22,2910
1705232746,21.42,41.89,2915
1705234547,22.68,42.84,2906
1705236348,23.02,44.06,2908
1705238149,22.79,45.72,2920
1705239950,22.18,46.15,2917
1705241751,21.64,47.47,2917
1705243547,21.67,49.06,2922
1705245349,21.66,47.04,2919
1705247155,21.58,46.55,2916
1705248951,21.65,48.11,2916
1705250757,22.25,48.08,2916
1705252558,21.96,46.56,2905
1705254359,22.24,48.43,2902
1705256160,22.07,50.51,2906
1705257961,21.72,50.7,2913
1705259762,21.53,45.38,2918
1705261564,22.92,47.73,2919
1705263365,23.01,49.14,2919
1705265166,22.69,51.34,2921
1705266967,22.64,53.96,2932
1705268768,22.72,55.1,2947
1705270569,22.16,56.05,2950
1705272370,21.78,57.21,2942
1705274171,21.54,56.3,2937
1705275972,19.82,48.54,2922
1705277774,21.01,50.48,2905
1705279575,21.56,53,2910
1705281376,21.24,55.27,2913
1705283177,20.8,57.43,2925
1705284978,20.45,59.43,2946
1705286779,20.16,60.59,2940
1705288580,19.95,62.05,2928
1705290381,19.74,62.74,2909
1705292183,19.52,63.42,2888
1705293984,19.33,64.44,2885
1705295785,19.19,64.59,2886
1705297586,19.09,64.7,2888
1705299387,19.04,64.88,2897
1705301183,19.02,64.95,2903
1705302989,18.92,65.14,2904
